id,name,state,on_new_list,ugc_source,ugc_name,offered,ugc_entitled,unbacked,site_claims_ugc_deb
"chandigarh-university-online","Chandigarh University Online","Punjab 140413","YES","main #64","CHANDIGARH UNIVERSITY","BBA BCA MA MBA MCA MSc","BA BBA BCA MA MBA MCA MSc","","YES"
"vtu-online","Visvesvaraya Technological University (VTU) Online","Online","YES","main #41","VISVESWARAIAH TECHNOLOGICAL UNIVERSITY","BBA BCA MBA MCA","BBA BCA MBA MCA","","YES"
"integral-university-online","Integral University Online","Uttar Pradesh","YES","main #109","INTEGRAL UNIVERSITY","B.Com BA BCA M.Com MA MBA MCA MSc","B.Com BA BCA M.Com MA MBA MCA MSc","","YES"
"manav-rachna-online","Manav Rachna Online","Online","YES","main #28 + addendum #7","MANAV RACHNA INTERNATIONAL INSTITUTE OF RESEARCH & STUDIES | MANAV RACHNA INTERNATIONA L INSTITUTE OF RESEARCH & STUDIES","B.Com BA BBA BCA M.Com MA MBA MCA","BA BBA BCA M.Com MA MBA MCA","B.Com","YES"
"karnataka-state-open-university-online","Karnataka State Open University (KSOU) Online","Online","YES","main #42","KARNATAKA STATE OPEN UNIVERSITY","B.Com BA BBA BCA M.Com MA MBA MCA","B.Com BA M.Com MA MBA MSc","BBA BCA MCA","YES"
"bharathidasan-university-online","Bharathidasan University Online","Tamil Nadu","YES","main #78","BHARATHIDASAN UNIVERSITY","BA BBA MA MBA","BA BBA MA MBA","","YES"
"hindustan-institute-technology-online","Hindustan Institute of Technology and Science (CODE) Online","Tamil Nadu","YES","main #94","HINDUSTAN INSTITUTE OF TECHNOLOGY AND SCIENCE (HITS","B.Com BBA BCA MBA MCA","B.Com BBA BCA MBA MCA","","YES"
"guru-ghasidas-vishwavidyalaya-online","Guru Ghasidas Vishwavidyalaya (GGU) Online","Online","YES","main #7","GURU GHASIDAS VISHWAVIDYALAYA","B.Com BCA M.Com MA MBA MCA","B.Com BCA M.Com MA MBA MCA","","YES"
"dr-babasaheb-ambedkar-open-university-online","Dr. Babasaheb Ambedkar Open University Online","Online","YES","main #18","DR. BABASAHEB AMBEDKAR OPEN UNIVERSITY","B.Com BCA M.Com MA MBA MCA","B.Com BA BCA M.Com MA MCA","MBA","YES"
"marwadi-university-online","Marwadi University Online","Online","YES","main #20","MARWADI UNIVERSITY","B.Com BBA BCA MA MBA MCA MSc","B.Com BBA BCA MA MBA MCA MSc","","YES"
"pp-savani-university-online","P P Savani University Online","Online","YES","main #23","P.P. SAVANI UNIVERSITY","BBA BCA M.Com MA MBA MSc","BBA BCA M.Com MA MBA MSc","","YES"
"university-of-mysore-online","University of Mysore Online","Online","YES","main #39","UNIVERSITY OF MYSORE","B.Com BBA BCA M.Com MBA MCA","B.Com BBA BCA M.Com MBA MCA","","YES"
"aligarh-muslim-university-online","Aligarh Muslim University Online","Uttar Pradesh","YES","main #102","ALIGARH MUSLIM UNIVERSITY","B.Com BA M.Com MA MBA","B.Com BA M.Com MA MBA","","YES"
"gujarat-university-online","Gujarat University Online","Online","YES","main #16","GUJARAT UNIVERSITY","B.Com BA BCA M.Com MA MSc","B.Com BA BCA M.Com MA MSc","","YES"
"charusat-university-online","CHARUSAT (Charotar University of Science and Online","Online","YES","main #17","CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY","BBA BCA MBA MCA","BBA BCA MBA MCA","","YES"
"gls-university-online","GLS University Online","Online","YES","main #22","G.L.S. UNIVERSITY","B.Com BBA BCA M.Com MBA MCA","B.Com BBA M.Com MBA MCA","BCA","YES"
"maharishi-markandeshwar-university-online","Maharishi Markandeshwar (Deemed to be University) Online","Online","YES","main #27","MAHARISHI MARKANDESHWAR","B.Com BBA BCA MBA MCA MSc","B.Com BBA BCA MBA MCA MSc","","YES"
"mizoram-university-online","Mizoram University (MZU) Online","Mizoram","YES","main #61","MIZORAM UNIVERSITY","MA MBA","B.Com BA BBA MA MBA","","YES"
"vivekananda-global-university-online","Vivekananda Global University Online","Rajasthan","YES","main #71","VIVEKANANDA GLOBAL UNIVERSITY","BA BBA BCA MA MBA MCA MSc","BA BBA BCA MA MBA MCA MSc","","YES"
"dr-mgr-educational-research-institute-online","Dr. MGR Educational and Research Institute Online","Tamil Nadu","YES","main #83","DR. M.G.R. EDUCATIONAL AND RESEARCH INSTITUTE","MBA","B.Com M.Com MA MBA MSc","","YES"
"uttaranchal-university-online","Uttaranchal University Online","Uttarakhand","YES","main #121","UTTARANCHAL UNIVERSITY","BA BBA BCA MBA MCA","BA BBA BCA MBA MCA","","YES"
"andhra-university-online","Andhra University Online","Andhra Pradesh","YES","main #1","ANDHRA UNIVERSITY","MA MBA MCA","B.Com BA M.Com MA MBA MCA","","YES"
"sgt-university-online","SGT University Online","Online","YES","main #29","SHREE GURU GOBIND SINGH TRICENTENARY UNIVERSITY","B.Com BBA BCA MBA MCA","B.Com BBA BCA MBA MCA","","YES"
"central-university-himachal-pradesh-online","Central University of Himachal Pradesh Online","Online","YES","main #31","CENTRAL UNIVERSITY OF HIMACHAL PRADESH","MA MBA MCA","MA MBA MCA","","YES"
"mahatma-gandhi-university-online","Mahatma Gandhi University Online","Kerala","YES","main #47","MAHATMA GANDHI UNIVERSITY","MBA","B.Com BA BBA M.Com MA MBA MSc","","YES"
"vit-university-online","Vellore Institute of Science and Technology (VIT Online","Tamil Nadu","YES","main #92","VELLORE INSTITUTE OF TECHNOLOGY","MBA MCA MSc","B.Com MBA MCA MSc","","YES"
"karunya-university-online","Karunya Institute of Technology and Sciences (KCODE) Online","Tamil Nadu","YES","main #95","KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES","B.Com MBA","B.Com MBA","","YES"
"kurukshetra-university-online","Kurukshetra University Online","Haryana","YES","main #25","KURUKSHETRA UNIVERSITY","B.Com BBA M.Com MBA MCA","B.Com BA BBA M.Com MA MBA MCA MSc","","YES"
"sastra-university-online","SASTRA Deemed University Online","Tamil Nadu","YES","main #84","SHANMUGHA ARTS, SCIENCE, TECHNOLOGY & RESEARCH ACADEMY","MBA","B.Com BBA BCA M.Com MA MBA MCA MSc","","YES"
