url,university,programme,slug,title-cased-name-emitted
"/universities/parul-university-online/bca/general-machine-learning","parul-university-online","BCA","general-machine-learning","General Machine Learning"
"/universities/parul-university-online/bca/general-mobile-app-dev","parul-university-online","BCA","general-mobile-app-dev","General Mobile App Dev"
"/universities/pp-savani-university-online/mba/supply-chain-management","pp-savani-university-online","MBA","supply-chain-management","Supply Chain Management"
"/universities/sathyabama-university-online/mba/human-resources","sathyabama-university-online","MBA","human-resources","Human Resources"
"/universities/savitribai-phule-pune-university-online/bca/general","savitribai-phule-pune-university-online","BCA","general","General"
"/universities/savitribai-phule-pune-university-online/bca/general-android","savitribai-phule-pune-university-online","BCA","general-android","General Android"
"/universities/savitribai-phule-pune-university-online/bca/general-dbms","savitribai-phule-pune-university-online","BCA","general-dbms","General Dbms"
"/universities/savitribai-phule-pune-university-online/bca/general-dot-net","savitribai-phule-pune-university-online","BCA","general-dot-net","General Dot Net"
"/universities/savitribai-phule-pune-university-online/bca/general-java","savitribai-phule-pune-university-online","BCA","general-java","General Java"
"/universities/savitribai-phule-pune-university-online/bca/general-python","savitribai-phule-pune-university-online","BCA","general-python","General Python"
"/universities/savitribai-phule-pune-university-online/bca/general-software-testing","savitribai-phule-pune-university-online","BCA","general-software-testing","General Software Testing"
"/universities/savitribai-phule-pune-university-online/bca/general-web","savitribai-phule-pune-university-online","BCA","general-web","General Web"
"/universities/sgt-university-online/bba/analytics","sgt-university-online","BBA","analytics","Analytics"
"/universities/sgt-university-online/bba/finance","sgt-university-online","BBA","finance","Finance"
"/universities/sgt-university-online/bba/human-resources","sgt-university-online","BBA","human-resources","Human Resources"
"/universities/sgt-university-online/bba/marketing","sgt-university-online","BBA","marketing","Marketing"
"/universities/sgt-university-online/bca/artificial-intelligence-machine-learning","sgt-university-online","BCA","artificial-intelligence-machine-learning","Artificial Intelligence Machine Learning"
"/universities/sgt-university-online/bca/cloud-computing","sgt-university-online","BCA","cloud-computing","Cloud Computing"
"/universities/sgt-university-online/bca/cybersecurity","sgt-university-online","BCA","cybersecurity","Cybersecurity"
"/universities/sgt-university-online/mba/hr-management","sgt-university-online","MBA","hr-management","Hr Management"
"/universities/sharda-university-online/mca/ar","sharda-university-online","MCA","ar","Ar"
"/universities/sharda-university-online/mca/augmented-reality-and-virtual-reality-with-artificial-intelligence","sharda-university-online","MCA","augmented-reality-and-virtual-reality-with-artificial-intelligence","Augmented Reality And Virtual Reality With Artificial Intelligence"
"/universities/sharda-university-online/mca/computer-science-and-information-technology","sharda-university-online","MCA","computer-science-and-information-technology","Computer Science And Information Technology"
"/universities/sharda-university-online/mca/vr-and-information-security","sharda-university-online","MCA","vr-and-information-security","Vr And Information Security"
"/universities/shobhit-university-online/mba/finance","shobhit-university-online","MBA","finance","Finance"
"/universities/shobhit-university-online/mba/human","shobhit-university-online","MBA","human","Human"
"/universities/shobhit-university-online/mba/marketing","shobhit-university-online","MBA","marketing","Marketing"
"/universities/shobhit-university-online/mca/artificial-intelligence-machine-learning","shobhit-university-online","MCA","artificial-intelligence-machine-learning","Artificial Intelligence Machine Learning"
"/universities/shoolini-university-online/bba/bba","shoolini-university-online","BBA","bba","Bba"
"/universities/shoolini-university-online/bca/bca","shoolini-university-online","BCA","bca","Bca"
"/universities/shoolini-university-online/mba/banking-insurance","shoolini-university-online","MBA","banking-insurance","Banking Insurance"
"/universities/shoolini-university-online/mba/data-science-business-analytics","shoolini-university-online","MBA","data-science-business-analytics","Data Science Business Analytics"
"/universities/shoolini-university-online/mba/hr-management","shoolini-university-online","MBA","hr-management","Hr Management"
