university,programme,spec_slug,currently_emitted_name,verified_name,page_url
"karnataka-state-open-university-online","MBA","operations","Operations","","https://edifyedu.in/universities/karnataka-state-open-university-online/mba/operations"
"karunya-university-online","MBA","business-analytics","Business Analytics","","https://edifyedu.in/universities/karunya-university-online/mba/business-analytics"
"karunya-university-online","MBA","entrepreneurship","Entrepreneurship","","https://edifyedu.in/universities/karunya-university-online/mba/entrepreneurship"
"karunya-university-online","MBA","human-resources","Human Resources","","https://edifyedu.in/universities/karunya-university-online/mba/human-resources"
"karunya-university-online","MBA","logistics-and-supply-chain-management","Logistics And Supply Chain Management","","https://edifyedu.in/universities/karunya-university-online/mba/logistics-and-supply-chain-management"
"karunya-university-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/karunya-university-online/mba/marketing"
"kl-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/kl-university-online/mba/hr-management"
"kl-university-online","MCA","cloud-computing","Cloud Computing","","https://edifyedu.in/universities/kl-university-online/mca/cloud-computing"
"kl-university-online","MCA","cyber-security","Cyber Security","","https://edifyedu.in/universities/kl-university-online/mca/cyber-security"
"lovely-professional-university-online","BBA","banking-and-finance","Banking And Finance","","https://edifyedu.in/universities/lovely-professional-university-online/bba/banking-and-finance"
"lovely-professional-university-online","BBA","fin-tech","Fin Tech","","https://edifyedu.in/universities/lovely-professional-university-online/bba/fin-tech"
"lovely-professional-university-online","BBA","logistics-and-supply-chain-management","Logistics And Supply Chain Management","","https://edifyedu.in/universities/lovely-professional-university-online/bba/logistics-and-supply-chain-management"
"lovely-professional-university-online","BBA","retail-and-e-commerce","Retail And E Commerce","","https://edifyedu.in/universities/lovely-professional-university-online/bba/retail-and-e-commerce"
"lovely-professional-university-online","BCA","ai","AI","","https://edifyedu.in/universities/lovely-professional-university-online/bca/ai"
"lovely-professional-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/lovely-professional-university-online/mba/hr-management"
"lovely-professional-university-online","MBA","it-management","IT Management","","https://edifyedu.in/universities/lovely-professional-university-online/mba/it-management"
"lovely-professional-university-online","MBA","operations","Operations","","https://edifyedu.in/universities/lovely-professional-university-online/mba/operations"
"lovely-professional-university-online","MBA","supply-chain-management","Supply Chain Management","","https://edifyedu.in/universities/lovely-professional-university-online/mba/supply-chain-management"
"maharishi-markandeshwar-university-online","BBA","banking","Banking","","https://edifyedu.in/universities/maharishi-markandeshwar-university-online/bba/banking"
"maharishi-markandeshwar-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/maharishi-markandeshwar-university-online/mba/hr-management"
"maharishi-markandeshwar-university-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/maharishi-markandeshwar-university-online/mba/marketing"
"mahatma-gandhi-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/mahatma-gandhi-university-online/mba/hr-management"
